AdapterInfo { name: "Apple M1 Max", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 300
test,mean,median,min,max,plot
embrace.svg,96.79µs,92.00µs,18.79µs,2.84ms,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
paris-30k.svg,215.92µs,127.33µs,80.92µs,1.09ms,▁▁▁▄▁▁▁▁▁▁▁█▁▁▁▄▁█▁▁▂▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▅▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▆█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁█▁▁▁▇▁▁▁▁▁▁▁▁▁▁▁▁▄█▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▄▁▆▁▁█▁▁█▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▂▇▁▁▁▁▇▁▁▄▁▁▁▁▁▄▁▂▁▁▁▁▆█▁▁▁▁▅▁▁▁▁▁▆▁▁▁▁▁▂▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▇▁▁▁▁▁▁▁▁▅
paris-70k.svg,231.99µs,132.96µs,26.04µs,962.25µs,▄▂▂▇▇▇▂▇▂▂▇▂▂▂▂▂▂▇▂▇▂▂▂▇▂▂▇▇▂▂▂▂▂▂▂▂▃▂▂▂▇▇▂▂▇▂▇▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▇▂▆▂▂▇▂▂▂▂▂▇▇▂▂▂▂▃▂▂▂▂▂▂▇▂▂▇▂▂▇▂▂▇▂▂▂▇▂▂▂▂▂▂▃▂▇▂▂▂▂▂▂▇▂▂▂▂▂▇▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂█▂▂▂▂▂▁▂▂▂▂▂█▂▂▂▂▂▂▂▂▂▂▂▇▇▂▂▂▂▇▂▂▂▇▂▂▂▂▂▂▂▂▂▂▂▃▃▃▂▂▂▂▂▂▇▂▂▂▂▇▇▂▂▂▂▂▂▂▂▂▂▂▂▇▇▇▂▂▂▂▂▇▂▂▇▂▂▂▂▂▂▂▂▂▂▇▂▂▂▂▃▂▂▁▁▁▂▇▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▄▂▂▂▂▂▁▂▂▇▂
tiger.svg,77.66µs,84.54µs,21.50µs,231.63µs,▃▃▂▁▃▁▂▃▃▁▂▃▃▃▂▃▃▃▃▁▃▂▁▁▃▁▃▃▁▃▃▁▃▁▁▁▃▃▃▁▁▁▃▃▃▃▁▃▃▃▃▃▃▃▁▁▁▁▃▃▄▁█▁▁▄▁▁▁▂▃▃▃▃▁▃▁▁▁▁▄▃▃▄▃▂▄▁▅▃▃▃▃▄▂▁▃▃▄▂▃▁▁▁▅▃▄▂▃▃▄▁▅▁▃▃▃▂▃▃▃▃▄▁▃▃▃▅▃▃▁▃▁▃▂▃▄▃▄▃▂▁▄▂▃▃▁▁▃▃▃▂▇▃▃▃▃█▁▃▃▃▃▃▃▄▃▄▃▁▃▃▃▃▁▃▄▁▂▃▃▅▃▃▄▃▂▃▂▃▁▃▁▂▃▃▃▃▃▃▁▃▃▃▃▃▃▃▃▃▃▃▄▃▃▃▃▁▄▄▃▁▃▃▃▃▃▃▃▃▃▃▂▄▃▃▃▃▃▃▃▃▄▃▃▃▃▃▃▃▄▃▃▄▃▄▃▃▄▃▃▃▃▄▃▃▄▃▃▃▃▄▃▃▃▃▃▄▃▃▃▃▃▃▃▃▂▃▁▅▄▃▃▅▄▃▃▃▄▃
paris-50k.svg,249.01µs,127.67µs,26.67µs,897.71µs,▁▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▇▂▂█▂▂▂▂▂█▂▂▂▂▂▇▇▂▇▂▂▂▂▂▂▂▇▂▂▂▂█▇▂▇▇▂▂▂▂▂▂▂█▂▂▂▂▂█▂▂▂▂▂█▂▂▂▂▂▇▂▂▇▂▂▂▂▂▂▇▇▂▂▂▂▂▇▂▂▇█▂▇▂▇▂▂▇▂▇▂▂▂▂▂█▂▇▂▂▇▇█▂▂▂▂▇▂▂▂▂▂▂▂▂▂█▂▂▂▂▂▂▂▂▇▇▂▂▂▂▂▂▂▂▂▂▂▂▂▂▇█▂▂▃▂▂▂▂▂▂▂▂▂▇▂▂▂▂▂▂▂▂▂▇▇▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▇▂▇▂▂▂▂▇▂▂▂▂█▂▂▂▇▂▂▂█▂▂▂▇▂█▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂█▂▂▂▂▇▇▂▂▂▂▁▂▂▂▂▇█▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂
contour.svg,107.28µs,95.00µs,20.88µs,386.63µs,▂▁▂▄▂▁▂▂▂▂▂▂▃▂▂▃▃▁▄▃▃▄▂▃▃▂▂▅▄▂▆▂▂▂▃▁▄▃▃▃▆▂▃▃▂█▃▂▃▂▃▂▂▃▂▃▄▂▆▃▃▃▂▂▄▄▂▂▃▁▂▄▆▂▁▆▂▃▂▃▂▂▂▂▁▂▄▄▃▂▂▁▂▃▁▂▃▂▂▃▃▂▂▃▂▁▂▆▁▂▃▁▂▂▃▁▂▂▂▁▂▃▁▂▆▂▁▂▃▁▄▄▂▃▃▃▂▆▂▁▄▂▃▃▃▃▂▂▃▂▅▂▂▃▆▃▄▄▃▂▁▂▂▆▂▁▂▄▆▂▆▂▄▁▃▃▆▂▁▄▂▂▂▂▄▂▃▁▂▂▂▁▆▄▂▃▃▆▁▃▅▄▃▅▆▂▃▁▂▆▂▁▂▆▂▂▂▃▂▄▃▅▄▂▃▄▂▃▃▁▄▃▄▂▂▃▁▂▆▁▅▄▃▁▂▃▂▃▆▃▂▁▂▂▂▂▃▃▃▃▂▃▁▃▂▂▂▃▂▃▃▃▃▂▁▂▁▄▅▁▄▂▂▁▂▂▂▂▃▂▃▂▃▆▁▆▂▂▆▂
paper-2.svg,142.84µs,118.75µs,21.08µs,408.50µs,▃▃▃▂▁▃▂▃▃▁▄▂▂▂▁▅▅▃▂▂▃▅▁▃▅▃▂▅▂▂▃▃▃▂▅▅▂▃▅▅▁▅▅▄▃▃▅▂▆▂▂▂▅▂▂▅▂▂▃▂▃▂▅▃▂▅▃▅▂▃▅▂▂▃▃▃▅▃▃▃▄▃▃▃▂▂▂▅▃▃▃▃▃▃▃▃▃▃▃▃▂▃▃▃▃▃▅▃▃▅▃▃▃▇▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▂▄▅▃▃▃▅▂▃▃▃▃▅▂▅▂▃▂▃▃▃▂▃▃▂▃▃▅▃▃▃▃▃▃▃▃▃▅▃▄▃▇▃▃▃▄▅▃▃▇▃▂▅▃▃▃▂▃▃▃▃▇▃▃▃▄▃▃▅▂▃▃▄▃▃▃▂▃▃▃▆▃▇▃▃▂▃▃▄▄▁▃▃▇▃▃▄▃▃▃▇▃▃▃▃▃▃▆▃▃▃▄▄▃▃▇▃▃▃▃▃▄▃▄▃▃▃▃▄▃▂▃▃▃▆▃▄▃▄▄▄▄▄▂▄▄▃▄▃▂▄▂▄▄▂▆▂▄▄▂▄▁▃▃▄▂▄█▂█
hawaii.svg,269.03µs,304.79µs,25.63µs,536.92µs,▅▅▅▄▃▄▅▂▄▄▅▄▅▅▄▄▅▄▁▅▅▆▄▅▄▁▅▅▄▅▅▄▅▅▁▅▄▅▅▅▅▁▅▅▁▅▁▅▁▁▄▁▆▅▁▅▅▆▁▄▅▅▄▅▅▄▅▄▅▅▁▁▄▅▅▁▅▅▅▄▅▅▅▅▅▅▄▅▄▅▅▁▅▄▅▅▅▅▅▅▅▄▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▆▅▅▅▅▅▅▁▅▅▅▅▅▅▅▅▅▅▅▅▆▅▅▅▆▄▅▅▅▅▄▄▅▄▅▆▅▅▄▅▅▅▄▅▅▅▁▃▆█▁▅▅▆▅▆▅▅▆▆▅▅▅▆▅▅▅▆▁▅▃▅▅▅▆▁▅▁▅▁▅▆▁▅▁▄▅▅▁▅▄▅▅▁▄▁▅▄▅▅▂▅▅▅▅▅▅▅▅▆▅▅▅▁▅▅▅▅▅▅▅▅▅▄▅▁▅▅▅▅▅▅▁▄▁▅▁▅▅▆▅▅▅▄▆▅▅▅▅▅▁▅▅▁▅▅▄▁▅▆▅▄▅▄▅▆▁▅▁▆▄▅▅▁▅▄▅▁▄▅▅▅
paper-1.svg,150.72µs,152.75µs,24.50µs,299.25µs,▄▃▃▅▃▁▃▃▃▃▃▃▃▂▃▅▄▁▃▃▁▃▃▅▂▄▃▃▃▃▄▂▄▃▂▄▅▇▃▂▃▃▄▁▄▄▄▃▃▄▂▄▇▆▂▃▁▃▇▄▇▇▂▄▄▄▄▃▃▁▄▅▇▃▄▄▁▄▂▄▃▄▄▄▂▃▇▅▇▃▄▄▄▄▃▄▄▇▄▄▆▄▄▄▂▃▄▄▄▄▄▄▄▃▆▅▄▃▄▇▄▇▄▄▄▃▁▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▇▄▄▄▄▄▅▅▄▄▄▄▄▄▄▄▄▄▄▄▇▅▅▄▄▄▄▄▄▅▅▅▄▄▅▄▅▅▄█▄▅▅▄▅▄▄▇▄▄▅▄▄▄▄▅█▄▄▄▄▄▄▅▄▄▄▅▄▅▅▅▄▅▇▄▄▄▄▄▄▄▄▄▄▄▂▂▄▄██▄▅▄▄▄▄▄█▄▅▄▅██▅▄▄▄▄▄▅▄▅▄▅▄▅▄▄▅▅▅▄▄▄▅▄▄▅▅▄▆▄▄▅▄▄▄▄▄▄█▄▄▄
drops.svg,77.36µs,89.08µs,19.96µs,206.00µs,▄▃▄▄▄▄▁▃▄▄▁▃▃▁▄▄▄▅▅▄▄▄▁▄▅▁▄▁▄▁█▄▄▂▅▅▁▁▂▄▅▄▅▄▆▄▄▅▄▃▄▅▄▄▃▄▁▂▄▁▂▅▄▁▂▃▄▅▆▁▂▃▄▄▂▂▂▂▂▄▅▃▄▃▃▄▄▃▃▂▂▄▄▂▄█▁▄▅▄▁▂▁▁▆▄▄▁▂▄▄▄▅▃▄▄▅▃▂▂▂▄▄▅▅▄▂▄▂▄▄▄▅▄▄▁▅▁▁▅▄▁▁▂▄▄▁▄▄▂▅▄▁▁▂▇▁▁▅▄▄▄▅▄▁▁▁▃▅▄▂▄▂▄▄▄▇▄▁▁▁▂▂▄▄▁▂▄▄▁▅▄▄▁▅▄▁▁▂▄▄▁▂▄▄▁▂▄▁▄▁▄▁▁▅▄▂▄▂▂▂▄▄▁▅▄▄▄▁▂▄▂▄▂▄▅▄▄▁▂▄▁▁▅▄▁▄▄▁▂▄▁▄▂▄▂▁▆▄▁▄▅▄▅▄▄▄▄▂▄▄▄▄▁▅▅▄▄▄▁▄▂▄▄▁▆▄▁▁▄▄▁▅▆▄▃▄▂▄▂
car.svg,131.82µs,133.58µs,38.50µs,206.54µs,▅▅▄▂▂▂▅▅▅▄▄▄▄▄▄▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▄▆▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅█▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▄▅▆▅▅▅▅▇▅▅▅▄▄▄▁▄▂▄▄▁▄▂▄▄▄▄▅▇▅▅▅▅▅▅▅▅▅▆▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▂▂▂▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅█▅▅▅▅▅▅▅▅▅▅▅▅█▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅█▅▅▅▅▅
reschart.svg,91.16µs,90.96µs,42.79µs,199.67µs,▅▄▂▁▄▅▁▅▄▃▄▄▁▁▁▁▁▃▁▁▁▂▃▁▁▁▁▅▁▄▃▁▁▂▁▂▄▄▂▁▁▅▃▁▃▃▃▂▁▁▁▂▁▁▅▂▇▅▄▃▃▁▁▁▃▂▄▃▅▃▁▄▁▁▄▆▃▄▃▃▆▃▂▁▃▃▅▃▄▆▅▁▃▃▆▃▃▃▁▅▃▃▁▁▃▃▅▃▃▂▂▅▅▃▅▄▁▃▂▄▃▂▃▃▇▄▁▃▃▁▃▅▃▃▃▃▁▃▆▅▃▄▃▅▁▂▅▁▃▃▅▁▃▃▅▆▅▁▅▄▃▁▃▃▄▁▄▁▄▃▃▃▃▁▆▂▅▄▃▃▃▃▃▁▆▆▅▁▃▃▁▁▃▁▄▄▄▃▇▁▃▁▄▁▃▆▂▅▃▃▇▃▃▆▅▃▅▆▂▅▃▄▇▂▄▃▃▅▂▄▃▃▆▃▃▃▁▆▂▅▄▃▂▃▅▅▂▅▁▁▅▁▃▃▃▁▃▄▆▅▃▁▃▁▁▆▃▇▃▄▁▄▄▄▂▃▁▃▆▁▅▄▁▃▁▁▃▃▃▅█▃▃▁▁▃▁▄▃▂
boston.svg,211.56µs,214.00µs,106.63µs,288.25µs,▄▅▃▂▃▅▁▆▂▅▂▄▄▅▅▃▅▅▃▅▂▄▃▅▃▅▂▅▃▄▅▂▅▅▅▅▂▆▅▆▂▅▅▅▅▆▆▅▅▅▂▅▅▅▅▆▆▅▅▆▅▅▆▅▆▆▅▆▅▅▆█▂▅▅▅▅▅▆▆▅▅▅▅▆▅▅▅▆▅▅▅▅▅▃▅▅▆▅▆▅▆▆▅▅▅▆▅▅▅▆▅▅█▅▅▆▅▅▅▅▅▅▆▅▅▆▅▅▅▅▆▅▅▆▆▅▅▆▅▆▅▅▅▃▆▅▅▅▅▅▅▆▅▅▅▅▅▅▅▅▅▅▅▅▅▅▅▄█▅▅▅▅▅▅▆▅▅▅▅▆▅▆▅▅▅▅▅▅▅▅█▅▅▅▅▆▅▅▅▅▅▅▆▅▅█▆▅▅▆▅▅▅▅▅▆▅▅▅▅▅▅▅▆▅▅▅▅▆▅▅▅▅▅▅▅▆▅▅▅▅▆▅▅▆▆▅▆▅▆▅▅▃▃▃▅▅▅▅▅▅▅▅▅▅▅▆▆▅▆▅▅▅▅▅▅▅▅▅▅▆▅▅▅▅▅▅▅▆▅▅▅▅▅▅▅█▆
