AdapterInfo { name: "Apple M1 Pro", vendor: 0, device: 0, device_type: IntegratedGpu, driver: "", driver_info: "", backend: Metal }
samples: 300
test,mean,median,min,max,plot
embrace.svg,105.68µs,111.71µs,24.58µs,1.94ms,█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
paris-30k.svg,337.70µs,151.13µs,67.13µs,5.55ms,█▃▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▂▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▃▁▂▃▁▁▁▁▂▁▁▂▁▁▁▁▁▁▃▁▃▂▁▁▁▁▃▂▁▁▁▁▁▂▁▁▂▁▁▃▁▂▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▃▂▁▁▁▁▂▁▁▂▁▁▂▁▁▂▁▃▁▃▁▁▁▂▁▂▁▁▃▂▁▁▁▁▁▁▁▂▂▁▂▁▂▁▁▃▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▃▁▁▁▁▁▂▁▁▃▁▁▃▁▁▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▂▁▁▂▁▃▂▁▁▂▁▁▁▁▁▃▁▁▂▁▁▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▂▁▃▂▁▁▂
paris-70k.svg,246.28µs,139.83µs,17.50µs,2.77ms,█▃▁▁▁▁▃▁▁▁▁▁▁▁▃▁▁▁▁▃▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▃▁▃▁▁▁▁▂▁▁▃▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▂▁▂▁▁▁▁▁▁▃▁▁▅▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▃▁▃▁▁▁▃▁▁▁▃▁▅▃▁▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▁▃▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▂▁▁▃▁▁▁▁▁▁▁▃▁▁▁▂▁▁▁▁▁▄▁▁▁▁▁▁▁▁▁▁▃▁▁▂▂▄▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▃▁▁▁▁▅▁▁▁▁▁▁▁▂▁▁▃▄▁▁▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▁▁▄▁▁▁▁▁▃▁▁▁▁▁▁▁▁▁▁▁▃▁▃▁▁▁▁
tiger.svg,69.54µs,73.75µs,13.42µs,525.38µs,▂▂▁▁▁▁▁▁▂▁▂▁▂▁▂▂▁▁▂▁▁▂▂▁▂▂▁▁▁▁▂▂▁▁▁▁▂▁▂▁▂▁▁▁▁▂▂▂▁▁▁▁▁▂▂▂▂▂▁▁▂▂▂▂▂▁▁▁▁▂▁▂▁▂▂▂▂▂▁▁▁▂▁▁▁▂▂▁▁▂▁▂▂▂▂▂▁▂▁▁▁▂▁▂▁▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▁▃▂▂▂▂▂▁▂▂▂▂▂▁▁▂▂▁▃▂▂▂▂▂▁▂▁▁▂▂▁▂▂▂▁▂▁▂▂▁▂▂▂▂▂▂▂▂▁▁▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▁▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂█▂▂▂▂▂▁▂
paris-50k.svg,225.54µs,140.88µs,22.75µs,1.51ms,▁▁▂▂▂▂▂▁▂▂▁▁▂▂█▂█▂▁▂▂▂▁▂▂▂▁▂▁▂▂▂▁▁▂▅▂▁▂▁▁▁▂█▂▂▂▁▂▂▂▁▂▂▁▂▁▁▂▁▂▂▅▁▁▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▂▅▁▁▂▁▁▂█▃▃▂▂▂▁▂█▂█▂▂▂▁▁▂▂▁▂▂▂▂▂▂▅▂▂▂▂▁▂▂▃▁▂▂▂▁▂▁▁▂▂▂▂█▂▂▂▂█▂▁▄▂▅▁▁▁▂▂▁▂▁▄▂█▂▁▂▁▂▂▁▁▂▁▂▁▂▁▂▂▂▂▁▂▁▂▁▁▁▂▄▁▁▂▁▂▁▂▂▅▁▃▁▂▅▂▁▂▂▂█▂▁▁▂█▂▁▂▂▂▅▅▂▁▂▅▁▂▂▁▅▂▁▂▂▂▂▁▂▁▂█▂▂▁▂▂▁▂▂▄▂▁▂▄▂▁▂▁▂▂▂▁▂▁▂▂▁▂▂▅▂▂▁▁▂▁▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▂▂▁▂▂▃▂▂▁▂▂▁
contour.svg,122.52µs,62.00µs,25.58µs,680.83µs,▁▁▁▁▁▂▅▂▅▁▁▂▁▂▁▂▁▆▅▂▅▁▂▆▂▂▁▆▅▁▂▂▂▂▁▁▁▂▅▁▂▂▂▁▅▁▁▂▁▂▁▂▂▂▁▁▁▂▅▅▂▁▁▁▅▂▁▁▁▂▅▁▁▁▂▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▅▁▁▂▁▁▁▂▆▂▂▅▂▁▅▁▁▂▁▂▁▆▁▁▇▆▁▁▁▂▂▂▁▂▁▂▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▆▁▁▅▁▁▁▁▁▁▁▁▂▁▁▁▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁▇▁▁▂▁▁▅▁▁▂▁▁▁▁▁▁▁▂▁▅▁▁▁▂▁▁▁▂▁▂▁▂▁▆▁▁▁▁▁▁▅▅▅▅▁▂▁▂▁▁▁▁▁▇▁▁▁▂▁▁▁▁▁▁▁▂▅▂▁▁▁▁▁▁▄▁▁▅▅▁▁▂▁▁▂▅▁▁▁▁▁▁▅▁▁▅▁▁▁▁▅█▁▁▁▁▁▂▁▁▆▁▆▂▅▂▅▂▂▂▂▁
paper-2.svg,141.26µs,107.00µs,20.08µs,610.38µs,▅▂▂▃▂▁▂▂▂▅▅▅▂▅▅▅▅▂▂▂▂▂▂▃▅▅▂▁▂▂▂▅▁▅▅▂▃▂▂▂▂▂▂▂▂▂▂▁▂▂▂▅▂▅▂▅▂▂▂▂▅▂▂▅▅▅▁▂▅▅▂▂▂▂▂▅▂▅▂▂▂▂▂▅▁▅▂▂▂▅▂▅▁▅▂▅▂▂▂▁▂▁▂▂▂▂▁▂▂▁▂▂▂▅▁▂▂▂▂▂▅▂▂▂▁▂▂▂▂▂▂▂▅▂▅▂▂▂▂▂▂▁▂▂▁▂▁▂▂▂▂▁▂▅▂▂▂▂▂▂▁▂▃▂▁▂▂▂▂▂▂▅▂▁▅▂▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▂▂▂▂▁▂▂▁▂▁▂▂▂▂▂▂▂▂▂▅▂▂▂▂▂▂▂█▂▃▁▃▂▂▂▂▂▂▃▃▂▃▃▂▂▂▂▂▂▃▂▂▂▂▂▃▂▂▂▂▂▂█▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂█▂▂▂▂▂▂▃▂▂▂▂▂▂▂▂█▂▃▂█▂▂▂▂▂▂▂▂█
hawaii.svg,159.74µs,178.29µs,22.21µs,414.96µs,▅▅▁▃▃▅▁▄▅▄▁▄▁▃▄▁▇█▄▅▄▄▄▄▃▄▄▄▁▁▄▁▄▁▄▁▄▄▄▄▇▄▁▄▁▄▇▄▁▄▃▄▄▄▄▁▂▄▄▁▄▁▄▄▁▄▄▂▄▅▁▄▄▄▄▂▄▄▇▅▅▅▄▁▄▄▄▄▅▄▂▄▁▄▄▄▁▄▄▁▄▁▄▁▇▁▇▁▄▄▅▂▄▄▄▄▄▂▁▆▇▄▄▇▄▄▄▇▄▄▁▄▁▄▁▄▄▄▅▁▄▁▄▁▄▄▄▄▄▁▇▄▄▃▄▄▁▄▄▄▄▄▁▂▄▁▄▁▄▁▄▁▄▄▄▇▂▄▄▄▇▄▃▂▁▄▄▁▄▄▄▄▄▄▄▄▄▄▁▄▁▄▄▄▁▄▄▁▄▄▄▁▄▂▄▄▄▂▁▄▄▃▄▄▁▂▄▄▄▄▄▄▄▄▄▄▄▄▁▄▁▅▅▄▄▄▇▄▇▁▅▁▄▁▄▄▅▅▁▄▄▂▁▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▄▂▄▄▃▄▄█▄▄▄█▁▄▄▄▁▃▁▁▂▄
paper-1.svg,103.02µs,88.29µs,15.63µs,373.63µs,▃▂▁▂▂▃▅▆▂▃▁▆▂▂▃▄▅▃▅▂▃▁▃▅▃▂▃▃▂▃▅▃▂▃▂▃▅▁▆▁▃▃▃▂▃▂▃▁▃▃▂▂▃▂▂▂▆▃▂▃▂▆█▂▂▆▁▃▂▃▂▃█▂▃▂▂▃▂▂▂▃▂▃▄▂▅▂▃▃▃▃▂▂▃▂▂▂▂▃▃▂▃▂▁█▂▂▂▁▃▁▂▃▂▂▁▂█▃▃▂▃▃▂▃▂▂▂▂▂▂█▂▁▂▁▂▃▃▂▃▂▂▁▃█▃▃▂▂▂▂▂▂▃█▅▂▁▂▃▂▃▂▃▂▃▃▃▂▂▃▃▃▃▂▂▂▂▃▂▃▃▂▂▂▃▂▃▃▃▂▂▁▂▃▂▂▂▂▂▂▇▁▃▂▂▂▂▂▂▂▃▂▃▂▁▂▂█▂▂▂▃▃▂▂▂▂▂▂▃▃▂▄▂▂▃▁▄▂▂▃▃▂▂▂▂▁▂█▃▃▂▂▃▂▂▂▂█▃▃▁▂▃▂▂▂▂▄▃▂▃▆▂▃▅▁▃▃▃▂▃▂▂▃▂▂▂▁▃▂▂▂▂▃▂▂
drops.svg,52.98µs,34.25µs,18.46µs,168.17µs,▃▃▅▂▅▁▂▃▄▅▅▁▂▃▁▁▃▃▁▂▂▁▆▁▁▃▁▃▄▂▂▁▂▄▃▃▁▁▁▁▃▂▁▃▃▁▁▁▁▃▁▁▃▁▃▂▆▂▅▁▅▁▂▁▄▂▃▁▄▁▂▁▄▁▅▄▁▄▁▁▅█▂▄▁▁▂▅▂▄▁▄▄▁▁▁▅▁▄▄▄▄▂▄▃▁▂▃▁▁▅▄▄▄▃▃▁▄▁▁▁▅▃▁▁▁▃▁▄▅▁▁▁▁▄▄▁▁▁▁▄▁▄▃▄▁▁▁▄▁▄▃▁▁▁▄▁▁▆▄▅▁▄▄▄▄▄▁▃▁▁▄▁▄▄▄▁▃▁▁▄▄▃▁▁▁▁▂▁▁▁▃▂▁▄▂▁▃▁▁▄▁▄▄▁▁█▁▁▁▁▄▄▁▄▁▁▁▅▁▄▁▁▄▁▄▁▁▁▁▁▁▅▃▄▄▄▅▄▁▄▃▁▄▅▄▄▁▄▁▁▁▁▁▄▁▁▁▁▁▁▄▁▄▁▄▁▄▁▂▄▁▄▃▄▅▄▄▄▄▄▁▁▄▂▅▄▁▄▄▄▃▄▁▅▆▄▅▁▃
