AdapterInfo { name: "NVIDIA GeForce RTX 4090", vendor: 4318, device: 9860, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "525.116.03", backend: Vulkan }
samples: 300
test,mean,median,min,max,plot
embrace.svg,37.40µs,37.67µs,36.72µs,38.86µs,█▅▂▅▄▁▅▅▅▁▁▅▅▅▂▅▅▅▅▅▅▅▂▅▄█▁▁▂▄▅▂▂▅▁▅▅▁▂▅▅▅▅▁▂▂▁▂▅▁▅▅▅▂▁▂▂▅▁▁▂▂▅▄▂▂▁▅▅▁▂▂▂▅▅▁▁▅▅▅▂▅▅▅▅▅▅▅▄▂▅▅▅▂▂▁▄▁▄▁▂▁▅▁▅▅▄▁▂▁▅▅▂▅▅▂▂▁▅▅▂▅▅▂▁▂▅▁▂▁▄▅▅▂▅▁▂▁▁▁▅▅▂▂▂▂▅▅▅▅▁▅▅▅▂▁▁▂▅▁▅▂▁▅▂▁▂▂▂▂▅▅▁▅▅▂▅▁▅▅▅▁▅▁▅▂▁▅▅▅▅▂▂▄▁▅▅▅▅▅▅▅▁▅▅▅▂▂▂▅▅▂▁▂▂▅▁▄▅▁▁▅▁▂▅▂▂▁▂▅▅▅▅▅▅▂▂▂▅▂▁▅▂▂▅▅▂▅▁▂▁▂▁▅▂▅▂▁▅▁▅▁▁▅▅▅▁▂▁▅▅▂▅▅▅▅▅▅▅▂▅▂▁▂▅▁▅▂▁▅▂▅▅▅▅▅▁▅▅▅
boston.svg,27.17µs,26.70µs,25.51µs,31.71µs,▆▅▅▃▃▅▃▅▅▃▃▃▅▅▅▅▅▅▅▅▃▅▅▅▃▃▅▅▃▅▅▅▃▃▅▅▃▃▃▅▃▃▃▃█▅▃▅▃▅▃▅▃▅▃▅▅▅▅▃▃▃▅▅▃▃▅▃▅▅▃▃▃▃▃▃▃▃▅▅▃▃▅▃▅▅▅▅▃▃▃▃▅▅▅▃▅▅▃▅▃▅▃▃▅▃▅▃▅▅▅▅▅▃▃▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▂▂▂▂▁▁▂▂▂▁▁▂▂▂▂▂▂▃▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▂▁▂▂▂▂▁▂▂▂▂▂▁▂▁▁▂▂▃▂▂▁▁▂▂▂▂▂▂▂▂▂▃▂▂▂▂▂▂▁▂▂▃▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▂▁▂▂▂▃▂▂▂▂▂▂▁▂▃▂▂▂▂▂▂▁▁▂▁▁▂▂▂▁▂▁▂▂▂▂▂▂▁▃▂▂▂▂▂▂▂▂▁▂▂▂▂▂▁
reschart.svg,12.33µs,12.40µs,11.21µs,14.31µs,▄▄▄▃▄▃▄▄▄▄▄▄▆▄▄▄▄▄▄▃▃▃▃▃▄▃▃▄▃▃▄▃▄▆▃▃▄▄▃▃▃▄▄▁▃▄▃▄▄▃▄▃▃▃▄▄▃▄▃▄▃█▃▃▄▄▄▄▄▃▃▄▄▄▃▄▃▃▃▄▃▄▃▄▄▃▄▄▄▃▄▆▄▄▃▃▄▃▄▃▄▃▄▃▄▄▃▃▃▄▄▄▄▄▃▄▄▃▃▃▄▄▄▄▄▃▄▄▃▃▃▃▃▄▄▆▄▄▄▄▄▃▄▄▄▄▄▄▅▃▄▄▄▃▃▄▄▃▄▃▄▄▄▄▃▄▃▃▄▄▄▃▃▃▄▄▄▄▄▄▃▄▃▃▄▃▃▃▁▄▄▃▃▃▄▃▃▃▄▃▄▄▄▄▄▃▄▃▃▃▄▃▄▃▄▃▃▄▃▄▃▄▃▄▄▃▄▅▃▄▄▄▃▃▃▃▃▃▃▃▃▃▄▃▆▃▃▃▄▃▃▄▄▆▄▄▄▄▃▄▆▄▆▃▃▃▄▄▄▄▃▃▄▃▆▃▃▄▃▃▃▃▃▆▄▄▃▄▄▄▃▄▃▄▄▄▃▃▃▃
paper-1.svg,19.86µs,19.55µs,18.36µs,21.70µs,▆▃▆▅▆▆▆▄▄▄▄▅▆▄▃█▄▃▆▆▆▆▆▅▄▆▅▆▄▄▆▄▆▆▆█▆▄▄▄▄▄▄▆▆▄▄▄▄▄▄▄▆▆▄▄▄▃▄▆▄▆▃▄▃▄▄▆▆▄▄▄▆▄▄▄▃▆▆▆▄▄▆▅▄▆▆▃▅▄▃▃▃▆▆▄▆▃▄▆▆▆▃▃▄▄▃▄▄▄▃▆▆▆▆▃▄▆▆▃▄▃▄▆▆▃▄▄▆▄▅▆▆▄▃▄▆▄▆▆▃▆▆▄▃▄▄▄▆▃▄▄▄▄▄▄▅▄▄▆▆▄▄▃▃▄▄▃▄▃▆▆▃▃▃▃▄▄▆▆▃▄▄▆▆▃▄▄▃▄▄▄▆▄▄▄▄▃▆▄▆▃▅▆▅▄▃▆▆▃▄▄▄▆▆▄▆▆▆▆▆▆▄▄▆▃▄▆▆▃▄▆▅▄▄▃▆▅▃▄▄▄▆▃▃▄▆▃▄▄▃▄▄▆▆▄▃▄▄▄▄▆▃▄▄▄▄▆▄▆▆▄▁▃▆▃▃▄▆▄▆▆▃▆▄▃▄▆▄▄▄▃▅▄▆▆▄▄▄▃
paris-70k.svg,105.16µs,105.38µs,102.28µs,108.48µs,▃▆▄▅▅▅▇▂▆▂▅▃▆▅▂▃▅▅▅▅▅▅▅▂▂▅▂▃▃▆▃▃▅▅▅▆▃▆▇▄▃▅▆▆█▃▃▁▃▅▅▅▆▃▂▅▃▅▃▆▆▆▃▅▅▃▆▆▃▅▅▅▃▄▅▂▃▅▅▅▅▅▅▃▃▅▅▅▆▅▃▅▅▃▆▃▆▅▆▃▃▃▅▅▂▅▅▃▇▃▃▃▅▆▅▃▆▃▃▂▆▂▆▅▆▃▅▆▇▅▅▂▅▅▃▃▆▂▅▃▅▃▅▃▃▅▃▅▃▅▃▅▅▅▅▅▅▂▅▃▆▅▃▃▅▅▇▆▅▆▅▅▂▅▅▅▅▃▅▃▆▅▅▅▃▆▃▅▂▂▃▃▅▅▆▄▃▅▅▂▃▃▅▅▃▅▅▃▅▃▆▆▂▃▅▄▅▅▅▅▂▅▃▆▅▅▃▅▃▅▅▇▅▇▅▅▅▃▅▃▅▅▃▃▅▂▆▃▃▃▅▇▅▂▂▄▂▂▅▆▅▅▂▅▅▅▅▅▃▇▂▅▃▅▆▃▃▅▆▅▃█▅▃▃▃▂▆▂▄▃▅▃▂▃▅▃▄▆▄
paris-50k.svg,113.43µs,113.73µs,110.39µs,116.83µs,▇▅▆▄▄▄▃▅▅▃▄▅▅▂▄▇▂▅▅▃▃▆▄▅▃▆▇▅▃▇▄▂▄▂▃▅▅▅▃▂▄▃▂▄▄▄▆▄▄▅▃▆▅▇▅▄▄▄▄▆█▅▃▅▃▅▆▃▅▆▅▅▅▄▆▅▇▆▂▂▄▄▅▅▅▂▄▆▄▃▃▅▆▃▅▂▅▄▆▃▄▃▅▃▂▄▅▅▆▃▅▅▅▂▅▂▆▆▆▅▇▃▅▄▄▃▅▃▃▄▇▄▆▃▄▃▃▄▅▅▂▆▅▄▃▄▅▁▄▅▂▂▆▅▆▄▅▄▃▆▅▄▃▆▆▄▅▄▄▅▁▃▄▆▆▅▅▃▄▇▄▆▅▄▅▅▂▃▅▃▂▆▄▆▃█▆▆▅▄▆▇▅▇▄▃▅▆▅▃▂▆▅▅▆▆▆▄▃▆█▃▂▄▅▄▄▃▅▇▅▅▃▆▅█▆▄▂▃▃▃▄▂▆▅▄▄▄▅▆▂▅▃▃▅▃▄▅▃▅▆▅▅▆▆▄▆▃▂▄▄▅▇▂▇▇▅▂▅▃▃█▅▅▄▅▆▃▅▆▅▃▆▃▄▂▃▅▄
paper-2.svg,54.78µs,54.36µs,52.21µs,60.32µs,█▂▅▄▅▄▄▃▅▂▅▄▃▄▅▃▄▂▅▂▃▃▂▃▃▄▂▂▆▄▆▅▅▃▃▄▅▃▄▅▄▃▃▃▃▃▃▃▄▄▄▄▅▃▄▃▂▁▃▄▁▃▃▂▅▃▅▄▃▃▂▃▂▅▂▂▃▄▂▃▄▂▂▅▃▃▃▃▄▅▃▃▆▃▃▄▂▄▃▃▆▅▄▄▄▄▄▄▅▂▄▅▆▅▂▄▄▄▂▅▃▄▃▄▃▅▃▄▃▃▃▄▄▄▄▄▃▅▃▃▄▄▅▄▃▄▄▄▂▂▃▅▃▆▃▄▄▂▃▃▄▃▃▄▅▄▂▄▂▂▃▅▃▃▄▃▂▃▄▄▅▃▃▂▃▃▂▃▃▃▃▃▂▃▃▄▃▃▃▃▃▅▃▃▃▄▄▂▂▄▃▃▁▁▃▃▂▄▅▂▃▄▃▃▄▃▃▃▄▄▂▄▄▄▄▁▃▄▄▅▅▄▄▃▅▅▂▅▄▂▄▃▅▃▃▂▃▂▄▃▃▃▂▃▂▃▃▆▄▃▄▁▅▃▅▂▂▅▄▄▃▅▄▄▄▅▃▂▃▄▄▂▃▄▃▂▃▄▂▄
drops.svg,15.70µs,15.50µs,14.31µs,17.41µs,▄▄▄▄▁▃▃▃▆▃▃▃▃▃▅▃▄▆▆▃▆▃▅▄▅▅▃▃▆▃▃▆▅▃▆▆▃▆▃▃▃▃▃▄▆▃▆▃▃▃▃▆▅▃▄█▃▃▆▄▃▄▃▄▄▃▆▆▆▄▃▆▃▃▄▆▅▃▄▆▃▅▄▆▄▆▄▃▃▄▄▆▅▅▆▃▄▄▅▆▄▆▄▃▃▆▄▄▃▅▃▅▃▅▃▃▃▄▆▃▃▃▆▄▄▆▆▄▃▆▄▃▃▅▄▃▃▃▄▃▃▃▃▃▆▄▆▄▃▆▆▆▆▄▅▄▄▄▆▄▄▄▄▄▃▄▆▆▄▆▃▃▄▃▃▆▃▅▃▃▄▃▃▃▃▄▃▅▄▆▃▆▅▄▆▆▄▆▆▆▆▆▃▃▆▄▃▆▆▃▄▃▅▄▅▆▃▄▃▃▃▄▃▃▄▅▄▃▅▆▃▄▄▄▃▄▄▄▃▃▃▃▃▄▆▄▃▆▄▄▄▄▅▆▆▃▅▄▅▃▄▄▆▆▃▆▃▆▃▃▄▆▃▃▃▄▃▃▄▃▃▅▅▆▅▆▃▃▃▅▄▃▆▃▆▃▅▆▄▄
paris-30k.svg,166.36µs,166.89µs,162.60µs,171.90µs,▆▄▁▆▃▃▂▄▁▂▆▂▂▅▂▄▆▁▁▁▅▁▄▅▆▇▃▄▁▂▃▆▅▅▆▇▆▁▂▅▅▃▃▂▆▂▅▄▂▆▅█▂▆▁▆▅▇▅▆▂▇▂▇▅▅▄▂▁▇▆▆▆▅▅▂▇▇▂▄▂▄▂▂▄▆▁▅▃▁▄▁▂▃▁▅▃▆▁▁▅▇▆▃▄▇▂▆▇▅▁▂▂▅▃▄▇▆▂▄▃▃▃▂▂▄▃▁▃▄▆▃▆▂▆▂▄▆▁▇▅▆▃▄▅▂▂▄▆▆▁▂▂▅▃▆▃▅▁▂▇▅▅▂▆▃▇▃▄▇▁▃▆▂▇▂▂▄▅▁▁▁▅▅▃▅▇▇▅▁▅▃▁▁▂▂▃▆▄▃▇▇▁▇▄▆▂▂▆▇▅▂▆▇▃▆▃▁▇▆▆▇▄▃▇▃▅▂▂▆▁▂▂▁▆▁▆▅▁▅▂▆▆▇▂▁▂▄▃▆▆▃▅▂▃▁▅▁▅▆▁▄▅▆▇▆▆▃▁▂▆▂▂▇▇▆▇▆▆▂▇▂▂▅▂▃▂▅▂▇▄▆▂▁▂▃▁▂▂▁
tiger.svg,73.99µs,73.67µs,72.72µs,76.77µs,█▃▅▃▅▃▃▃▁▃▃▃▃▅▃▅▄▃▃▃▃▄▄▃▃▃▄▅▁▃▄▃▃▃▅▃▃▄▃▃▄▃▃▅▃▃▃▃▃▃▄▃▅▅▃▃▃▃▃▅▅▃▁▄▃▃▃▃▄▃▄▄▃▃▃▃▅▃▅▃▁▃▃▄▅▃▃▄▃▅▃▄▃▃▃▃▃▃▄▃▅▄▃▃▃▃▃▅▃▃▃▃▃▁▃▃▅▃▃▃▃▃▄▃▃▃▄▁▃▃▃▃▃▃▄▃▅▅▃▄▅▄▅▃▄▄▃▅▅▃▃▃▅▃▃▃▃▃▃▄▃▃▄▃▃▃▄▃▃▃▄▃▃▃▃▃▃▃▃▃▄▅▃▃▃▃▃▃▃▃▃▃▃▃▃▃▃▄▄▃▃▃▃▃▄▃▃▃▄▃▅▄▃▃▃▄▃▃▃▃▃▃▃▃▃▁▅▄▃▃▃▃▃▃▃▃▃▄▄▃▅▃▃▃▅▁▅▅▄▃▃▃▃▃▅▃▃▅▃▃▃▃▃▅▅▃▃▃▃▃▃▅▅▄▃▃▃▄▃▃▃▃▃▃▃▃▃▃▃▅▅▅▃▄▃▄▁▃▄▄
