AdapterInfo { name: "NVIDIA GeForce RTX 4090", vendor: 4318, device: 9860, device_type: DiscreteGpu, driver: "NVIDIA", driver_info: "525.116.03", backend: Vulkan }
samples: 1000
test,cpu_encode,mean,median,min,max,plot
embrace.svg,2.41ms,22.86µs,22.65µs,21.46µs,26.70µs,█▅▇▄▄▅▅▅▅▅▆▅▄▅▅▅▇▅▅▅▅▄▅▄▅▅▄▅▄▅▄▄▅▄▄▄▅▅▅▅▄▅▅▅▅▅▅▄▄▅▄▅▄▄▄▅▅▅▅▅▅▅▅▅▄▅▅▅▄▅▅▅▅▅▅▅▅▄▅▅▄▅▄▄▅▅▅▅▅▅▄▅▅▅▄▅▅▅▄▄▅▅▅▅▅▅▅▄▄▅▅▅▄▄▅▅▅▄▅▄▅▅▅▄▄▅▅▅▅▅▅▄▅▄▅▅▅▅▅▅▄▅▄▅▅▅▄▅▅▅▅▅▄▅▄▅▅▅▄▅▄▅▅▅▄▅▄▄▄▂▂▃▂▃▂▃▂▃▃▃▃▃▃▃▂▃▃▂▃▂▃▄▂▂▄▂▃▃▂▂▃▂▂▃▃▂▂▂▃▂▃▂▃▃▃▃▄▄▃▃▃▃▃▂▂▂▂▃▃▂▃▃▂▄▃▃▂▂▃▃▃▂▂▄▃▂▂▂▃▃▃▂▃▃▂▂▂▂▂▂▂▂▃▃▂▃▃▂▂▃▃▃▂▃▂▃▂▂▃▃▂▂▂▃▂▂▃▂▃▃▂▃▂▂▂▂▃▂▃▂▂▃▂▃▃▂▄▂▃▂▃▂▃▄▃▃▂▂▃▃▄▃▃▃▃▃▃▂▂▂▂▂▃▂▃▂▂▃▃▃▃▃▂▃▂▂▃▃▂▃▂▃▃▂▃▂▃▂▃▃▂▄▃▂▃▁▂▃▃▂▃▃▃▃▃▂▄▃▃▃▂▂▃▃▃▂▂▃▃▃▂▄▃▃▂▃▃▂▃▂▂▁▃▃▃▃▂▃▃▃▂▂▂▃▂▂▂▂▄▃▃▂▂▂▃▃▃▂▃▂▂▂▂▂▃▂▃▃▂▂▂▃▂▂▃▂▂▃▂▃▂▂▂▂▂▃▂▂▂▂▃▃▂▃▂▂▃▃▃▂▂▃▃▃▃▄▃▃▃▃▂▁▂▃▂▃▂▃▂▃▂▃▃▂▂▃▃▂▂▃▂▂▂▂▂▂▂▂▃▂▃▄▄▃▂▂▂▂▂▃▃▃▃▃▃▂▂▂▂▃▂▃▄▂▃▃▃▂▃▃▃▂▃▂▃▃▂▃▃▃▃▃▃▂▂▂▂▃▂▃▂▂▂▃▄▂▃▃▂▂▁▂▂▂▃▃▂▃▃▃▃▃▂▃▂▃▃▂▃▃▃▂▂▃▂▃▂▂▃▂▃▃▃▂▂▂▂▂▂▂▂▃▂▃▃▂▂▃▂▂▂▃▂▃▃▂▃▃▂▃▃▄▁▃▃▂▃▂▂▃▄▂▃▂▂▂▃▂▃▃▂▃▂▃▃▂▃▃▃▃▃▂▂▃▃▂▃▂▂▂▂▂▂▃▂▁▃▃▃▃▂▂▃▂▃▃▂▃▃▃▃▃▂▃▃▄▄▂▂▂▂▃▃▂▂▃▃▂▂▃▃▂▂▃▂▂▃▄▂▂▂▂▂▂▃▂▃▄▂▃▂▂▂▂▂▃▂▂▂▂▃▂▂▂▂▂▃▂▂▂▃▃▃▂▂▃▂▃▃▃▃▂▃▃▃▃▃▂▂▃▃▂▃▂▂▃▂▃▃▃▃▂▂▃▃▃▃▂▃▂▂▂▃▃▃▃▂▃▂▃▂▃▃▃▄▃▂▃▂▃▂▂▃▁▃▁▂▂▂▂▃▂▂▂▂▂▂▃▃▃▂▃▃▃▂▃▂▂▃▂▂▂▁▃▃▃▂▂▃▂▄▂▂▂▄▂▃▂▃▃▂▃▃▄▂▂▃▃▃▂▃▃▂▃▂▃▂▂▂▂▃▃▂▂▂▂▃▃▃▂▂▃▃▃▂▃▂▃▃▃▃▂▂▄▂▂▃▃▂▂▂▂▂▃▂▃▂▄▄▃▂▃▂▁▂▂▃▃▂▂▃▂▃▂▃▃▂▃▃▂▃▃▂▂▃▃▂▃▃▂▃▂▃▃▃▂▃▂▄▂▃▄▃▄▄▃▃▂▂▂▃▃▃▃▂▃▄▃▃▂▃▃▃▄▂▂▃▃▂▃▃▂▂▂▂▂▃▂▃▄
boston.svg,14.23ms,26.01µs,25.75µs,22.65µs,26.70µs,▁▁█▆███▆█▆▆██▆▆███▆▆▆█▆▆▆██▆██▆▆▆█▆▆██▆███▆▆█▆█▆▆▆█▆▆▆█▆████▆▆▆▆▆█▆▆██▆▆█▆█▆▆█▆▆███▆█▆▆▆▆█▆█▆█▆▆▆▆█▆███▆▆██▆▆▆▆█▆██▆█▆▆▆▆██▆▆█▆███▆▆████▆█▆▆█▆▆█▆▆█▆▆██▆█▆█▆█▆█▆▆▆███▆████▆███▆███▆▆▆▆▆▆██▆█▆▆▆▆▆▆███▆██▆███▆▆▆█▆█▆▆▆▆▆█▆▆██▆█▆▆▆▆▆▆▆█▆█▆███▆▆▆▆▆▆▆▆▆▆▆▆▆███▆█▆▆██▆▆█▆▆█▆▆▆▆██▆█▆█▆▆▆▆▆▆█▆█▆▆█▆██▆▆██▆▆█▆▆██▆█▆█▆████▆▆▆▆█▆▆▆▆▆▆▆▆▆█▆▆█▆▆█▆▆▆▆██▆▆█▆█▆█▆▆▆█▆█▆▆▆▆▆██▆█▆█▆▆▆█▆███▆█▆█▆▆▆▆▆█████▆█▆█▆▆▆▆█▆▆▆▆▆█▆▆██▆█▆▆▆██▆▆▆▆▆▆▆▆█▆█▆▆██▆█▆▆▆███▆█▆▆▆▆█▆▆▆██▆▆▆█▆▆█▆▆▆█▆▆▆▆██▆█▆██▆██▆▆▆█▆▆██▆▆▆█▆██▆▆▆██████▆▆▆▆▆█▆▆███▆▆▆█▆█▆▆███▆█▆▆█▆█▆█▆▆▆████▆▆▆▆██▆█▆▆▆█▆████▆▆███▆▆▆█▆▆▆▆██▆▆█▆█▆█▆█▆▆█▆█▆█▆██▆▆▆█▆▆█▆▆█▆█▆█▆██▆██▆█▆▆▆▆██▆▆██▆▆▆▆▆▆█▆▆██▆▆▆██▆▆▆▆██▆▆▆████▆█▆█▆▆▆█▆█▆▆▆██▆▆█▆▆▆▆▆▆█▆███▆▆▆█▆▆▆▆███▆▆▆▆▆▆█▆▆███▆█▆█▆▆██▆█▆▆███▆▆█▆▆▆▆█▆▆█▆█▆▆▆▆▆▆███▆▆▆█▆▆▆▆█▆▆▆█▆▆▆▆█▆▆▆▆█▆▆▆▆█▆▆██▆▆█▆▆█▆█▆█▆▆▆▆▆█▆▆██▆▆▆███▆▆▆▆▆▆▆█▆▆██████▆▆▆▆█▆█▆▆█▆▆███▆██▆▄▆█▆▆█▆▆▆█▆█▆▆█▆█▆▆█▆▆▆█▆▆█▆█▆█▆▆▆▆█▆██▆▆██▆█▆▆██▆██▆▆▆██▆▆▆▆█▆▆██▆█▆▆██▆▆██▆██▆▆███▆▆█▆▆██▆▆█▆▆▆▆▆████▆▆▆█▆▆█▆▆▆▆█▆██▆████▆▆█▆▆▆█▆▆█▆▆▆█▆▆▆█▆▆▆▆▆▆██▆▆▆█▆▆▆▆▆▆▆▆██▆██▆█▆▆▆███▆▆
reschart.svg,2.69ms,13.04µs,13.35µs,12.16µs,26.46µs,██▂▂▂▂▂▂▁▂▂▂▁▂▁▂▁▂▁▁▂▂▁▁▁▂▂▂▂▁▁▁▁▂▂▁▂▂▂▁▂▁▂▂▁▁▁▁▂▂▁▂▁▂▁▂▂▁▁▁▁▁▁▂▂▁▂▁▂▁▂▂▂▁▂▂▁▂▂▁▂▂▂▂▂▂▂▂▂▂▂▁▂▁▁▁▁▂▂▂▁▂▂▁▁▂▁▁▁▁▂▂▁▂▂▁▁▂▁▁▁▁▂▁▁▂▁▂▁▂▂▁▁▁▁▂▂▂▁▁▂▂▂▂▁▂▁▂▁▂▁▂▁▂▂▁▁▁▂▁▁▂▁▂▁▂▂▂▁▁▂▂▂▂▂▂▁▁▂▂▂▂▂▂▂▁▁▁▁▁▂▂▂▁▁▁▂▁▂▂▂▂▂▁▂▂▂▁▂▁▂▂▁▁▂▁▁▂▂▂▁▂▁▂▂▁▂▂▂▂▁▁▂▂▁▁▁▁▁▂▁▁▁▁▂▂▂▂▁▂▁▂▂▁▂▁▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▁▁▁▁▁▂▂▁▁▂▁▂▂▁▁▂▁▂▂▂▂▂▂▂▁▂▂▁▂▁▂▂▁▂▂▂▂▁▁▂▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▁▂▁▂▁▂▂▂▂▂▂▂▂▂▁▂▂▂▂▂▂▂▂▁▁▂▁▁▁▂▁▂▁▂▁▂▂▂▂▁▂▂▂▁▂▁▂▂▁▂▁▂▂▂▁▂▂▁▁▂▁▁▁▂▁▂▂▂▁▂▂▁▂▂▁▁▂▂▁▂▁▂▁▁▁▁▂▁▂▁▁▁▁▂▁▂▂▂▂▁▂▁▁▂▂▂▁▂▁▂▂▂▁▂▂▂▂▂▂▂▂▁▂▁▁▂▁▁▂▁▂▂▂▂▂▁▂▁▂▁▂▁▂▁▁▁▁▂▁▁▂▂▁▂▂▂▁▁▂▂▂▂▁▁▁▂▂▂▂▁▂▂▂▁▁▂▁▂▂▂▂▁▂▁▁▂▂▂▁▁▂▂▁▁▂▂▁▁▂▂▂▂▁▂▁▁▁▂▁▂▂▁▂▂▁▁▂▂▂▂▁▂▁▂▁▂▁▁▂▁▂▂▁▁▁▁▁▁▁▂▂▂▁▂▂▁▂▁▂▂▂▂▁▁▁▂▂▁▂▂▂▂▂▁▂▂▂▁▁▁▂▂▁▂▂▁▂▁▂▂▂▂▁▂▁▂▂▂▁▂▂▂▁▁▂▁▂▁▂▂▂▁▂▂▁▁▁▁▂▂▁▁▁▂▂▁▂▁▁▁▂▂▁▂▂▁▁▂▁▂▁▂▁▁▂▁▂▁▁▂▁▁▂▁▂▂▂▁▂▂▁▂▁▁▂▁▁▂▁▂▂▁▁▁▂▂▂▂▁▂▂▁▁▂▂▁▂▁▁▂▁▂▂▁▂▂▁▁▁▂▁▂▂▂▂▁▁▂▁▁▁▁▂▂▁▂▁▁▂▁▂▁▂▂▂▁▁▂▂▁▂▁▂▂▂▂▂▁▂▂▂▁▂▁▁▁▂▁▁▂▁▁▂▂▂▂▁▂▁▂▂▂▁▁▁▂▁▂▁▁▁▁▂▁▂▁▁▁▂▁▂▂▂▂▂▂▂▁▁▁▂▂▁▁▁▁▁▂▂▂▂▁▁▁▂▂▂▁▂▁▂▂▁▁▂▂▂▁▁▂▁▂▂▁▂▁▂▁▂▁▂▂▂▂▁▁▂▂▂▁▁▂▁▂▂▂▂▂▂▂▂▂▂▂▁▂▁▂▂▁▂▂▂▁▂▂▂▂▁▂▂▂▂▂▂▁▂▁▂▁▂▂▁▁▂▁▁▂▂▂▂▁▂▂▁▁▂▂▁▂▂▂▂▁▂▂▁▂▂▂▁▁▂▁▁▂▂▁▁▁▁▂▂▂▂▁▁▁▁▂▂▁▂▂▂▁▂▂▂▁▁▂▁▂▁▂▁▂▂▂▂▂▂▁▁▂▂▂▁▁▂▁▂▂▂▂▁▂▂▁▁▁▁▁▂▂▁▂▁▂▂▁
paper-1.svg,39.64ms,20.35µs,20.50µs,12.16µs,21.70µs,▂▁▇▇█▇▆▇▇▇▆▇▇▇▇▇▇▇▇▇▇▆▇█▇▇▇▇▇▇▇▇▇▇▆▇▇▆▇▇▇▇▇▆▇▇▇▇█▇▇▇▆▇▇▇▇▆▇▆▇▇▇▆▆▆▇▇▇▆█▇▇▆▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▆▇▇▇▇▆▇▆▇▇▆▇▆▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇█▇▇▆▇▇▆▇▇▇▇█▇▇▇▇▆▇▇▇▆▇▇▇▇▇▇▇▆▇█▇▇▇▇▆▇▇▇▇▆▆▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇██▇▇▇▇▇▇▇▇▇▇▇▇▇▇█▆▆▇█▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▆▇▇▇▇▇▇▇▆▇▇▇▇▇▆▆▇▆▇▆▇▆▇▇▇▇▇▆▇▇▆▇▆▇▇▇▇▆▇▇▇█▇▇▆▇█▇█▇▇▇▇▇▇▇▇▇▇█▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇█▇▇▇▆▇▇▇▇▆▇▇▇▆▇▆▇▇▇▆▇▆▇▇▇▆▆▇▇▇▇▇▆▇▇▇▇▇▇▆▇▇▇▇▇▇▇▆▇▇▇▇▇▆▇▇▇▇▇▆▇▇▇▆▇▇▇▇▇▆▇▇▆▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▆▇▆▇▇▇▇▇▇▇▇▇▆█▇▇▇▇▆▇▇█▇▆█▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▆▆█▇▇▆▇█▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇█▇▆▇▇▇▇▇▇▇▇▇▇▇▆▇▇▆▇▇▆▇▆▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇█▆▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▆▇▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇█▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▆▆▇▇▇▇▇▇▇▇▇▆▆▇▆▇▆▇▆▇▇█▇▇▇▇▇▇▇▆█▇▇▇▇▇▇▆▆▇▆▇▇▇▇▇▇▇▆▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▆▇▇▇▆▇▇▇▇▇▇▇▆▇▇▇▆▇▇█▇▇▇▇▆▇▇▇▇▇▇▇▇▆▇▇▇█▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇▇█▇▇▇▆▇▆▇▇▇▆▇▇▇▇▇▇▇▆▇▇▇▇▆▇▇█▇▆▇▇▇▇▇▇▇▇▆▇▇▆▇▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▆▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇█▇▇▇▇█▇▇▇▇▇▆▇▆▇▇▇▆▇▆▇▇▇▇▇▇▇▇▇▆▇▇▇▇▆▇▇▆▇▇▆▇▇▇▇▇▇▇▇▇▇▆▇▇▇▇▇▇▇▇█▇▆▇▇▇▇▇▇▇▇▇▇▆▇█▇▇▇▇▇▇▇█▇▆▇▇▇▇▇▆▇▇▇▇▇▇▆▆▇▇▆▇▇▇▇▇▆▇▇▆▇█▇▇▇▇▇▆▇▇▇▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇▇▇▇▆▇▇▇▆▆▆▆▆▇▇▆▇▇▇▇▇▇▇▇▇▇▇▇
paris-70k.svg,233.37ms,95.17µs,95.13µs,19.55µs,98.23µs,▁▁██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████
paris-50k.svg,228.24ms,102.36µs,102.28µs,95.37µs,105.62µs,▁▁▇▆▅▆▄▆▆▆▅▆▅▇▅▄▅▇▄▄▇▇▅▇▇▅▆▆▅▇▅▅▇▆▇▅▇▅▇▅▇▇▇▄▄▆▇▇▇▇▅▆▅▅▄▄▅▅▅▇▇▇▇▅▅▆▇▇▇▄█▇▆▅▇▇▅▆▇▇▇▇▇▄▅▇▆▅▄▆▇▄▆▆▇▅▅▅▆▅▆▆▇▆▄▇▆▆▆▆▅▆▅▆▆▇▅▅▅▆▅▆▆▅▇▄▆▇▆▅▇▅▅▆▆▆▅▅▅▇▅▆▇▇▇▅▇▅▆▇▅▅▇▆▇▇▆▇▇▄▇▇▆▅▇▆▅▅▆▅▅▄▆▇▆▅▆▇▆▇▆▆▇▇▄▆▇▇▅▇▄▇▅▅▄▅▆▆▆▇▆▄▅▇▅▆▆▇▆▅▅▅▇▆▆▆▇▅▆▇▄▇▇▅▄▅▅▅▅▄▄▄▆▆▆▇▇▄▅▇▄▆▆▇▇▅▆▇▅▆▅▆▅▇▅▆▅▄▇▄▇▆▅▇▆▇▅▇▆▆▅▆▆▇▄▆▅▇▆▇▇▆▅▇▅▇▅▆▅▆▇▆▇▅▇▆▄▆▇▅▅▅▆▇▅▄▇▅▇▇▇▆▅▅▆▇▆▆▅▆▅▅▄▅▆█▄▅▅▇▆▅▆▇▅▅▇▅▄▇▆▆▅▅▇▆▇▇▆▅▆▇▇▆▇▅▆▆▇▅▇▆▅▄▆▇▇▅▇▇▅▆▄▇▅▅▇▆▇▇▇▇▇▅▇▆▆▄▇▆▄▆▅▅▆▆▇▆▆▅▇▆▅▅▅▆▇▆▇▅▆▇▆▇▇▆▅▆▅▆▅▅▆▇▄▆█▅▆▅▇▇▆▆▆▆▄▄▆▆▅▇▅▆▅▅▇▅▅▇▇▆▇▅▆▇▇▅▆▇▅▆▅▆▇▇▆▅▆▆▇▇▆▇▅▇▅▅▇▆▅▆▇▇▅▆▇▅▄▅▇▆▅▆▄▅▅▇▆▆▅▅▇▇▆▇▇▆▅▅▆▅▇▆▆▅▅▇▆▆▆▅▅▆▆▇▇▅▅▆▆▆▇▆▇▇▇▅▇▅▅▅▆▇▇▅▅▅▆▄▅▆▆▇▇▇▇▆▇▇▆▆▇▆▇▆▇▇▅▆▇▅▅▅▇▅▄▅▆▅▇▇▆▅▇▆▅▆▇▅▇▄▅▇▇▆▇▅▆▅█▇▇▅▆▆▆▄▅▆▅▄▇▆▇▅▅▄▅▅▇▄▅▅▅▄▆▇▇▆▅▇▅▅▅▅▆▇▇▇▇▅▅▇▅▆▇▅▅▇▆▅▆▅▆▇▇▆▆▄▇▆▅▅▇▆▅▄▇▄▄▅▅▆▆▅▆▇▇▆▇▆▇▇▆▆▆▅▇▆▇▄▆▆▇▆▅▆▅▅▅▇▅▇▇▇▄▇▅▇▅▆▇▅▅▆▅▄▆▄▇▆▆▆▇▆▆▅▅▆▇▅▅▆▆▅▅▄▅▅▄▆▅▅▇▇▇▅▆▆▆▅▄▅▆▇▆▆▅▇▇▅▅▇▅▇▅▆▅▄▇▆▆▅▆▅▆▅▆▄▄▅▇▇▇▅▅▆▆▆▅▇▆▄▄▇▇▆▅▅▇▄▆▅▅▇▄▇▆▆▆▇▄▇▆▅▅▇▅▆▅▆▇▇▅▆▅▇▇▅▇▆▆▅▄▆▇▇▇▇▆▅▅▅▆▆▇▆▆▇▄▅▅▅▄▇▆▆▇▅▅▆▆▅▅▆▇▇▅▄▆▆▆▆▇▆▇▆▇▇▇▄▄▆▇▇▅▆▅▅▅▇▅▅▆▇▅▆▅▅▅▆▅▆▅▅▆▇▅▇▅▄▅▅█▆▆▇▅▇▇▇▄▆▆▅▇▅▇▆▄▆▄▅▅▇▄▅▅▇▅▇▇▇▇▄▆▅▇▇▇▆▇█▅▆▅▇▆▇▆▅▇▆▆▇▅▅▄▅▇▆▇▅▆▅▇▇▇▇▇▆▄▇▆▆▆▆▆▅▅▇▅▇▆▅▅▆▅▅
paper-2.svg,49.48ms,39.07µs,38.86µs,34.81µs,103.47µs,██▁▁▁▁▁▂▁▂▁▁▁▁▁▁▁▂▁▂▂▂▁▁▁▁▂▂▁▁▁▁▁▁▁▁▂▂▁▁▂▁▂▂▁▂▂▂▂▂▂▂▁▁▁▁▁▁▁▁▂▂▁▂▁▂▁▂▁▂▁▁▁▁▂▂▁▂▂▂▂▁▁▁▁▂▂▂▂▁▁▁▁▁▁▂▁▂▁▁▂▂▁▁▁▁▂▁▂▁▂▁▂▁▂▂▁▁▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▁▂▁▁▁▁▂▁▁▁▁▂▂▂▂▁▁▁▂▂▁▂▁▁▁▂▂▁▁▁▂▂▁▂▁▁▁▁▂▁▂▁▂▁▁▁▂▁▁▁▁▁▂▁▁▁▂▁▁▂▁▁▁▂▂▁▂▂▁▁▂▂▂▂▁▁▁▂▂▂▁▂▁▁▁▂▁▁▁▂▂▂▂▁▁▂▁▁▂▁▂▂▁▁▂▂▂▁▁▂▁▁▁▁▂▂▂▁▂▂▂▁▁▂▁▁▁▁▁▁▂▂▂▂▁▁▁▁▂▁▂▂▁▂▂▁▂▁▂▁▁▁▂▂▂▂▁▂▂▁▁▁▁▁▂▁▁▁▁▁▂▁▂▁▁▁▂▂▁▁▂▂▂▂▁▁▂▁▁▂▂▂▁▂▁▁▂▂▁▁▁▁▁▁▁▂▁▁▂▂▂▁▁▁▁▂▂▁▁▁▁▂▁▁▁▂▁▁▁▁▂▁▂▁▁▂▂▁▂▁▂▂▂▂▁▂▁▁▁▂▁▁▁▁▂▁▂▁▂▁▂▂▂▁▁▂▁▂▂▂▂▁▁▂▁▂▂▁▁▂▁▁▁▁▂▂▂▁▁▁▁▂▁▁▁▁▂▁▁▂▁▂▁▂▁▁▂▁▂▂▂▁▁▁▁▁▂▂▂▂▂▁▁▂▂▁▁▁▂▁▁▁▂▁▂▁▂▂▁▁▁▂▁▂▂▁▁▂▁▁▂▂▂▁▁▁▁▂▁▁▂▁▁▂▁▂▂▁▁▁▁▂▁▂▁▁▂▂▂▁▂▂▂▁▁▂▁▁▂▂▂▁▂▁▂▁▂▂▁▂▁▁▂▂▁▂▂▂▁▂▁▁▁▁▁▂▂▁▁▂▁▁▁▂▁▂▁▂▂▁▂▂▁▁▁▂▂▂▂▂▂▂▁▁▁▁▁▂▂▁▁▂▂▂▁▁▂▁▁▁▁▁▁▁▁▂▂▂▂▂▂▂▂▂▂▁▁▁▁▂▁▂▁▁▁▂▂▁▂▁▁▁▁▁▁▁▁▂▁▁▁▂▂▁▁▁▁▂▁▁▂▂▁▁▁▂▁▁▂▂▁▂▁▂▁▂▂▁▂▁▁▂▂▂▂▁▁▂▁▂▂▁▁▁▂▁▂▁▁▂▁▂▁▁▂▁▁▁▂▁▁▁▂▁▁▂▁▁▂▂▂▁▂▂▁▁▁▁▁▁▂▂▁▁▁▁▁▁▁▂▁▁▁▁▁▂▂▁▂▂▁▁▁▁▁▂▁▂▁▂▂▁▁▁▂▂▁▁▂▂▂▂▁▂▁▂▁▁▂▂▁▂▁▂▁▂▁▂▁▁▁▁▂▂▁▂▁▂▁▂▂▂▁▂▂▂▂▁▁▂▂▂▁▁▁▂▁▂▁▂▁▁▂▂▁▂▁▂▁▂▁▂▁▁▁▂▂▂▁▂▂▁▂▁▂▂▂▁▂▂▂▁▁▂▂▂▁▂▁▁▂▁▁▁▁▁▁▂▁▁▁▁▂▁▁▁▁▁▁▁▁▂▂▁▁▂▂▁▁▁▁▁▂▁▂▁▁▁▂▁▁▁▂▁▂▁▁▂▁▂▁▁▁▁▂▁▂▁▂▁▁▂▂▂▁▂▁▁▁▂▁▂▂▂▁▂▁▂▂▂▁▁▂▂▂▂▁▁▂▁▂▂▂▁▁▁▁▁▁▁▂▁▁▂▂▁▁▁▁▁▁▁▂▁▁▁▁▁▂▁▂▁▂▁▂▂▂▁▂▂▂▁▂▁▁▂▁▁▁▂▂▁▂▁▂▁▁▁▁▂▂▂▂▂▂
